epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.9705,1.21924,1.89469,1.08924,0.86047,0.48655,0.5268,0.27956,2.07488,2.87369,1.1606,0.000665738,0.000665738,0.000665738
2,83.1713,1.19419,1.34563,1.08821,0.81839,0.49704,0.53099,0.31903,1.94839,2.722,1.21679,0.00126645,0.00126645,0.00126645
3,121.203,1.11211,1.12239,1.05241,0.89183,0.52268,0.55384,0.36719,1.79514,1.84788,1.23186,0.00180116,0.00180116,0.00180116
4,154.926,1.10308,1.02005,1.04642,0.93825,0.51282,0.56272,0.36896,1.81514,1.61297,1.11778,0.001703,0.001703,0.001703
5,188.739,1.08071,0.93998,1.03913,0.94069,0.50099,0.5473,0.37062,1.81592,1.64777,1.13043,0.001604,0.001604,0.001604
6,220.982,1.04637,0.83725,1.03223,0.91864,0.52465,0.5731,0.39815,1.78268,1.3458,1.2232,0.001505,0.001505,0.001505
7,253.067,0.99792,0.80234,1.01043,0.93832,0.52663,0.57123,0.40992,1.69368,1.40535,1.11292,0.001406,0.001406,0.001406
8,285.077,0.97695,0.75532,0.99824,0.94719,0.51282,0.57853,0.40942,1.69997,1.38915,1.1029,0.001307,0.001307,0.001307
9,317.249,0.96766,0.72194,0.99382,0.8977,0.52071,0.58012,0.40907,1.68984,1.40235,1.06256,0.001208,0.001208,0.001208
10,351.445,0.92769,0.69083,0.98501,0.95104,0.53649,0.59668,0.40341,1.73862,1.31456,1.12255,0.001109,0.001109,0.001109
11,390.096,0.88925,0.6103,0.9614,0.93663,0.52071,0.58536,0.4284,1.65268,1.39659,1.08026,0.00101,0.00101,0.00101
12,426.86,0.86791,0.58589,0.94534,0.90307,0.53291,0.58688,0.42376,1.74365,1.31348,1.133,0.000911,0.000911,0.000911
13,464.506,0.84834,0.55326,0.93484,0.93192,0.53998,0.59632,0.43565,1.64245,1.23678,1.10125,0.000812,0.000812,0.000812
14,500.018,0.82344,0.52409,0.92779,0.96866,0.53452,0.60699,0.4494,1.57871,1.23133,1.04752,0.000713,0.000713,0.000713
15,537.113,0.8024,0.51274,0.9163,0.87788,0.55299,0.60675,0.44838,1.63163,1.23627,1.06675,0.000614,0.000614,0.000614
16,573.589,0.78261,0.48689,0.91717,0.93924,0.53254,0.60719,0.44717,1.60948,1.22377,1.04565,0.000515,0.000515,0.000515
17,610.649,0.77707,0.47937,0.90721,0.90246,0.54746,0.61411,0.45794,1.57027,1.21988,1.03004,0.000416,0.000416,0.000416
18,644.033,0.73063,0.45641,0.8949,0.88582,0.55819,0.62392,0.45868,1.61475,1.19184,1.02694,0.000317,0.000317,0.000317
19,679.44,0.73351,0.44025,0.89002,0.9178,0.55053,0.62678,0.47127,1.59614,1.20802,1.02538,0.000218,0.000218,0.000218
20,714.949,0.70236,0.43184,0.88108,0.92636,0.5503,0.63282,0.47598,1.57882,1.17834,1.02638,0.000119,0.000119,0.000119
